operator_id,vehicle_id,vehicle_type,status,locked,start_time,end_time,start_pos,end_pos,driven_distance,start_soc,end_soc,charging_power,charging_unit,toll,rq_on_board,occupancy,rq_boarding,rq_alighting,route,trajectory
0,5,taxi,route,False,21634,21689,30525;-1;-1,9520;-1;-1,365.12,0.8055117553387914,0.8055117553387914,0.0,,0,,0,,,30525;9682;9683;9668;9669;25814;25815;25816;25817;25818;25819;30356;30357;9520,30525:21634;9682:21635;9683:21645;9668:21645;9669:21653;25814:21653;25815:21660;25816:21660;25817:21667;25818:21667;25819:21669;30356:21669;30357:21689;9520:21689
0,5,taxi,boarding,True,21689,21719,9520;-1;-1,9520;-1;-1,0.0,0.8055117553387914,0.8055117553387914,0,,0,208,1,208,,,
0,4,taxi,route,False,21773,21873,30315;-1;-1,23086;-1;-1,1043.8899999999999,0.7115532300622305,0.7115532300622305,0.0,,0,,0,,,30315;30316;30317;30318;30319;30320;30321;30322;30323;30324;30325;30326;30327;30328;30329;2864;2865;2862;2863;2860;2861;23086,30315:21773;30316:21774;30317:21782;30318:21782;30319:21791;30320:21791;30321:21796;30322:21796;30323:21800;30324:21800;30325:21806;30326:21806;30327:21809;30328:21809;30329:21833;2864:21833;2865:21845;2862:21845;2863:21853;2860:21853;2861:21873;23086:21873
0,4,taxi,boarding,True,21873,21903,23086;-1;-1,23086;-1;-1,0.0,0.7115532300622305,0.7115532300622305,0,,0,210,1,210,,,
0,13,taxi,route,False,21642,21912,14460;-1;-1,19906;-1;-1,4250.65,0.8645248536920208,0.8645248536920208,0.0,,0,,0,,,14460;14461;14458;14459;38972;38973;38164;38165;38166;38167;38168;38169;38170;38171;38172;38173;38970;38971;38964;38965;38962;38963;38156;38157;38954;38955;37150;37151;31920;31921;19938;19939;31056;31057;22242;22243;22244;22245;22246;22247;31050;31051;31038;31039;19906,14460:21642;14461:21674;14458:21674;14459:21674;38972:21674;38973:21694;38164:21694;38165:21694;38166:21694;38167:21697;38168:21697;38169:21697;38170:21697;38171:21715;38172:21715;38173:21722;38970:21722;38971:21784;38964:21784;38965:21789;38962:21789;38963:21791;38156:21791;38157:21800;38954:21800;38955:21803;37150:21803;37151:21809;31920:21809;31921:21820;19938:21820;19939:21827;31056:21827;31057:21833;22242:21833;22243:21836;22244:21836;22245:21847;22246:21847;22247:21852;31050:21852;31051:21860;31038:21860;31039:21912;19906:21912
0,13,taxi,boarding,True,21912,21942,19906;-1;-1,19906;-1;-1,0.0,0.8645248536920208,0.8645248536920208,0,,0,209,1,209,,,
0,5,taxi,route,False,21719,22084,9520;-1;-1,39715;-1;-1,1724.2799999999988,0.8055117553387914,0.8055117553387914,0.0,,0,208,1,,,9520;9521;5296;5297;5294;5295;5292;5293;5290;5291;5288;5289;10180;10181;10178;10179;10176;10177;9584;9585;30398;30399;30400;30401;30402;30403;30404;30405;30406;30407;9970;9971;9968;9969;9966;9967;9964;9965;9962;9963;10010;10011;10008;10009;37304;37305;37306;37307;37308;37309;37310;37311;31846;31847;31848;31849;40626;40627;39412;39413;39414;39415;39416;39417;39418;39419;39420;39421;39422;39423;39424;39425;37346;37347;37348;37349;37350;37351;18906;18907;18904;18905;17504;17505;39714;39715,9520:21719;9521:21745;5296:21745;5297:21746;5294:21746;5295:21755;5292:21755;5293:21763;5290:21763;5291:21767;5288:21767;5289:21781;10180:21781;10181:21789;10178:21789;10179:21797;10176:21797;10177:21800;9584:21800;9585:21812;30398:21812;30399:21820;30400:21820;30401:21820;30402:21820;30403:21828;30404:21828;30405:21832;30406:21832;30407:21847;9970:21847;9971:21853;9968:21853;9969:21858;9966:21858;9967:21858;9964:21858;9965:21860;9962:21860;9963:21862;10010:21862;10011:21864;10008:21864;10009:21891;37304:21891;37305:21895;37306:21895;37307:21900;37308:21900;37309:21900;37310:21900;37311:21906;31846:21906;31847:21915;31848:21915;31849:21928;40626:21928;40627:21934;39412:21934;39413:21978;39414:21978;39415:21983;39416:21983;39417:21986;39418:21986;39419:21990;39420:21990;39421:21992;39422:21992;39423:21998;39424:21998;39425:22059;37346:22059;37347:22063;37348:22063;37349:22065;37350:22065;37351:22069;18906:22069;18907:22069;18904:22069;18905:22079;17504:22079;17505:22083;39714:22083;39715:22084
0,5,taxi,boarding,True,22084,22114,39715;-1;-1,39715;-1;-1,0.0,0.8055117553387914,0.8055117553387914,0,,0,208,1,,208,,
0,13,taxi,route,False,21942,22300,19906;-1;-1,36773;-1;-1,7552.829999999999,0.8645248536920208,0.8645248536920208,0.0,,0,209,1,,,19906;19907;31046;31047;31048;31049;31042;31043;39366;39367;31052;31053;24250;24251;30816;30817;22256;22257;22258;22259;4512;4513;24930;24931;34022;34023;32966;32967;32968;32969;22366;22367;15528;15529;27662;27663;27664;27665;19910;19911;30292;30293;16590;16591;14426;14427;30714;30715;37316;37317;37318;37319;37320;37321;37322;37323;37324;37325;24508;24509;30710;30711;36038;36039;36040;36041;36042;36043;36044;36045;35720;35721;36036;36037;16326;16327;33028;33029;15066;15067;15064;15065;15062;15063;36772;36773,19906:21942;19907:22006;31046:22006;31047:22009;31048:22009;31049:22012;31042:22012;31043:22026;39366:22026;39367:22029;31052:22029;31053:22047;24250:22047;24251:22070;30816:22070;30817:22077;22256:22077;22257:22085;22258:22085;22259:22089;4512:22089;4513:22100;24930:22100;24931:22115;34022:22115;34023:22120;32966:22120;32967:22121;32968:22121;32969:22149;22366:22149;22367:22160;15528:22160;15529:22174;27662:22174;27663:22178;27664:22178;27665:22194;19910:22194;19911:22201;30292:22201;30293:22206;16590:22206;16591:22223;14426:22223;14427:22230;30714:22230;30715:22245;37316:22245;37317:22248;37318:22248;37319:22248;37320:22248;37321:22250;37322:22250;37323:22250;37324:22250;37325:22256;24508:22256;24509:22256;30710:22256;30711:22258;36038:22258;36039:22262;36040:22262;36041:22270;36042:22270;36043:22272;36044:22272;36045:22277;35720:22277;35721:22280;36036:22280;36037:22284;16326:22284;16327:22297;33028:22297;33029:22297;15066:22297;15067:22297;15064:22297;15065:22297;15062:22297;15063:22299;36772:22299;36773:22300
0,13,taxi,boarding,True,22300,22330,36773;-1;-1,36773;-1;-1,0.0,0.8645248536920208,0.8645248536920208,0,,0,209,1,,209,,
