request_id,rq_type,number_passenger,rq_time,earliest_pickup_time,start,end,pickup_location,dropoff_location,access_time,egress_time,direct_route_travel_time,direct_route_distance,offers,decision_time,chosen_operator_id,operator_id,vehicle_id,pickup_time,dropoff_time,fare,modal_state
208,BasicRequest,1,21634.0,21634.0,9520;-1;-1,39715;-1;-1,,,,,164.70585223849787,1724.2799999999997,0:t_wait:43.83193277310784;t_drive:194.70585223849776;fare:0,,,0,5,21689,22084,0,0
209,BasicRequest,1,21642.0,21642.0,19906;-1;-1,36773;-1;-1,,,,,238.9997536997408,7552.829999999999,0:t_wait:129.61217610168023;t_drive:268.9997536997398;fare:0,,,0,13,21912,22300,0,0
211,BasicRequest,1,22376.0,22376.0,26414;-1;-1,32797;-1;-1,,,,,28.816414686825052,400.26,0:t_wait:109.22192483593972;t_drive:58.81641468682574;fare:0,,,0,5,22584,22658,0,0
210,BasicRequest,1,21773.0,21773.0,23086;-1;-1,36861;-1;-1,,,,,598.3880188324631,9416.48,0:t_wait:67.94792359022904;t_drive:628.388018832462;fare:0,,,0,4,21873,23149,0,0
214,BasicRequest,1,23263.0,23263.0,5670;-1;-1,21175;-1;-1,,,,,123.7641748279093,1280.96,0:t_wait:85.82802905334756;t_drive:153.7641748279093;fare:0,,,0,8,23390,23761,0,0
217,BasicRequest,1,23444.0,23444.0,42050;-1;-1,27773;-1;-1,,,,,62.72282217422607,871.22,0:t_wait:147.45155255610007;t_drive:92.72282217422617;fare:0,,,0,5,23627,23824,0,0
213,BasicRequest,1,23163.0,23163.0,15032;-1;-1,17969;-1;-1,,,,,377.0741494838203,5255.919999999998,0:t_wait:61.545051864773995;t_drive:407.0741494838185;fare:0,,,0,7,23273,24033,0,0
216,BasicRequest,1,23409.0,23409.0,16364;-1;-1,26597;-1;-1,,,,,243.6814636726857,3268.71,0:t_wait:62.98026373717585;t_drive:273.6814636726849;fare:0,,,0,14,23518,24133,0,0
219,BasicRequest,1,23848.0,23848.0,5698;-1;-1,4555;-1;-1,,,,,158.8362459656703,1443.9099999999999,0:t_wait:44.334625604053144;t_drive:188.83624596567097;fare:0,,,0,1,23918,24212,0,0
212,BasicRequest,1,23128.0,23128.0,19906;-1;-1,219;-1;-1,,,,,348.0073269249525,8921.509999999998,0:t_wait:152.03131548079182;t_drive:378.0073269249515;fare:0,,,0,6,23448,24216,0,0
