request_id,rq_type,number_passenger,rq_time,earliest_pickup_time,start,end,pickup_location,dropoff_location,access_time,egress_time,direct_route_travel_time,direct_route_distance,offers,decision_time,chosen_operator_id,operator_id,vehicle_id,pickup_time,dropoff_time,fare,modal_state
208,BasicRequest,1,21634.0,21634.0,9520;-1;-1,39715;-1;-1,,,,,164.70585223849787,1724.2799999999997,0:t_wait:43.83193277310784;t_drive:194.70585223849776;fare:0,,,0,10,21690,22084,0,0
209,BasicRequest,1,21642.0,21642.0,19906;-1;-1,36773;-1;-1,,,,,238.9997536997408,7552.829999999999,0:t_wait:109.24929481091385;t_drive:268.9997536997398;fare:0,,,0,3,21933,22319,0,0
211,BasicRequest,1,22376.0,22376.0,26414;-1;-1,32797;-1;-1,,,,,28.816414686825052,400.26,0:t_wait:109.22192483593972;t_drive:58.81641468682574;fare:0,,,0,10,22585,22659,0,0
210,BasicRequest,1,21773.0,21773.0,23086;-1;-1,36861;-1;-1,,,,,598.3880188324631,9416.48,0:t_wait:67.94792359022904;t_drive:628.388018832462;fare:0,,,0,8,21874,23162,0,0
214,BasicRequest,1,23263.0,23263.0,5670;-1;-1,21175;-1;-1,,,,,123.7641748279093,1280.96,0:t_wait:85.82802905334756;t_drive:153.7641748279093;fare:0,,,0,16,23390,23755,0,0
216,BasicRequest,1,23409.0,23409.0,16364;-1;-1,26597;-1;-1,,,,,243.6814636726857,3268.71,0:t_wait:20.39480035841916;t_drive:273.6814636726849;fare:0,,,0,1,23447,23968,0,0
217,BasicRequest,1,23444.0,23444.0,42050;-1;-1,27773;-1;-1,,,,,62.72282217422607,871.22,0:t_wait:142.2916253282856;t_drive:92.72282217422617;fare:0,,,0,5,23808,24002,0,0
213,BasicRequest,1,23163.0,23163.0,15032;-1;-1,17969;-1;-1,,,,,377.0741494838203,5255.919999999998,0:t_wait:59.97971601120662;t_drive:407.0741494838221;fare:0,,,0,6,23302,24030,0,0
212,BasicRequest,1,23128.0,23128.0,19906;-1;-1,219;-1;-1,,,,,348.0073269249525,8921.509999999998,0:t_wait:115.84557858055996;t_drive:378.0073269249515;fare:0,,,0,21,23367,24116,0,0
219,BasicRequest,1,23848.0,23848.0,5698;-1;-1,4555;-1;-1,,,,,158.8362459656703,1443.9099999999999,0:t_wait:44.334625604053144;t_drive:188.83624596567097;fare:0,,,0,2,23914,24235,0,0
218,BasicRequest,1,23720.0,23720.0,3370;-1;-1,24429;-1;-1,,,,,312.30595641856405,4151.97,0:t_wait:118.64950874766873;t_drive:342.30595641856416;fare:0,,,0,4,23953,24525,0,0
222,BasicRequest,1,24145.0,24145.0,39184;-1;-1,9227;-1;-1,,,,,84.55737629825148,725.29,0:t_wait:88.3581147361765;t_drive:114.55737629825308;fare:0,,,0,18,24289,24556,0,0
215,BasicRequest,1,23326.0,23326.0,22546;-1;-1,4089;-1;-1,,,,,578.8745758191898,8889.59,0:t_wait:83.59140861051492;t_drive:608.8745758191908;fare:0,,,0,11,23475,24705,0,0
221,BasicRequest,1,24134.0,24134.0,19906;-1;-1,42033;-1;-1,,,,,249.57310859814652,5699.32,0:t_wait:126.97284737995142;t_drive:279.57310859814606;fare:0,,,0,24,24490,24949,0,0
226,BasicRequest,1,24870.0,24870.0,14062;-1;-1,4195;-1;-1,,,,,65.66363928295809,860.38,0:t_wait:86.16643100206784;t_drive:95.66363928295686;fare:0,,,0,13,25002,25301,0,0
223,BasicRequest,1,24373.0,24373.0,39270;-1;-1,4285;-1;-1,,,,,74.06944592155904,1094.97,0:t_wait:240.24388088263004;t_drive:104.06944592155924;fare:0,,,0,2,24794,25414,0,0
224,BasicRequest,1,24461.0,24461.0,19906;-1;-1,7653;-1;-1,,,,,401.1133369843872,9030.529999999997,0:t_wait:19.619019279121858;t_drive:526.5966450696214;fare:0,,,0,24,24490,25596,0,0
228,BasicRequest,1,25160.0,25160.0,3408;-1;-1,30065;-1;-1,,,,,225.423213340186,3611.25,0:t_wait:63.327383653246216;t_drive:255.4232133401856;fare:0,,,0,11,25260,25863,0,0
229,BasicRequest,1,25302.0,25302.0,22850;-1;-1,22123;-1;-1,,,,,126.09352326632285,899.9599999999999,0:t_wait:174.91755768454095;t_drive:156.09352326632143;fare:0,,,0,18,25702,25988,0,0
225,BasicRequest,1,24727.0,24727.0,19906;-1;-1,24955;-1;-1,,,,,464.1192372483727,9951.539999999997,0:t_wait:129.61217610168023;t_drive:494.11923724837106;fare:0,,,0,17,24964,26281,0,0
236,BasicRequest,1,26149.0,26149.0,13080;-1;-1,31039;-1;-1,,,,,160.8039293945102,4320.26,0:t_wait:38.122514515383955;t_drive:190.80392939451121;fare:0,,,0,23,26210,26559,0,0
227,BasicRequest,1,25093.0,25093.0,6154;-1;-1,5649;-1;-1,,,,,252.85023042266923,3402.9800000000005,0:t_wait:77.46871805421688;t_drive:282.85023042266766;fare:0,,,0,16,25230,26560,0,0
234,BasicRequest,1,26106.0,26106.0,41090;-1;-1,40971;-1;-1,,,,,105.62150063966104,1290.19,0:t_wait:101.20592813006442;t_drive:135.62150063965964;fare:0,,,0,11,26382,26689,0,0
241,BasicRequest,1,27023.0,27023.0,40330;-1;-1,5851;-1;-1,,,,,59.717008250850725,770.53,0:t_wait:17.6717062634998;t_drive:89.71700825084918;fare:0,,,0,10,27052,27165,0,0
233,BasicRequest,1,26101.0,26101.0,32152;-1;-1,7923;-1;-1,,,,,308.240274517065,9567.63,0:t_wait:119.70726646982075;t_drive:338.2402745170657;fare:0,,,0,13,26485,27169,0,0
232,BasicRequest,1,26029.0,26029.0,37858;-1;-1,24853;-1;-1,,,,,120.40020896560374,881.73,0:t_wait:151.06344408266887;t_drive:150.40020896560236;fare:0,,,0,24,26999,27255,0,0
238,BasicRequest,1,26913.0,26913.0,26682;-1;-1,27491;-1;-1,,,,,99.44146547007013,1185.7,0:t_wait:34.95364270138816;t_drive:129.4414654700704;fare:0,,,0,14,26965,27365,0,0
235,BasicRequest,1,26142.0,26142.0,39270;-1;-1,35029;-1;-1,,,,,331.7198709392128,3779.5,0:t_wait:126.52704904145867;t_drive:481.1719483195084;fare:0,,,0,24,26352,27802,0,0
231,BasicRequest,1,25694.0,25694.0,28404;-1;-1,3409;-1;-1,,,,,274.6967292560731,4450.91,0:t_wait:315.26317153338823;t_drive:304.696729256073;fare:0,,,0,2,27581,28176,0,0
246,BasicRequest,1,27472.0,27472.0,18008;-1;-1,31039;-1;-1,,,,,356.75434046777946,8489.559999999996,0:t_wait:138.98049485499723;t_drive:386.7543404677781;fare:0,,,0,22,27773,28497,0,0
242,BasicRequest,1,27214.0,27214.0,32152;-1;-1,30463;-1;-1,,,,,290.862831099093,9545.339999999998,0:t_wait:7.0;t_drive:320.86283109909346;fare:0,,,0,23,27221,28548,0,0
