request_id,rq_type,number_passenger,rq_time,earliest_pickup_time,start,end,pickup_location,dropoff_location,access_time,egress_time,direct_route_travel_time,direct_route_distance,offers,decision_time,chosen_operator_id,operator_id,vehicle_id,pickup_time,dropoff_time,fare,modal_state
208,BasicRequest,1,21634.0,21634.0,9520;-1;-1,39715;-1;-1,,,,,164.70585223849787,1724.2799999999997,0:t_wait:43.83193277310784;t_drive:194.70585223849776;fare:0,,,0,13,21690,22084,0,0
209,BasicRequest,1,21642.0,21642.0,19906;-1;-1,36773;-1;-1,,,,,238.9997536997408,7552.829999999999,0:t_wait:109.24929481091385;t_drive:268.9997536997398;fare:0,,,0,12,21933,22319,0,0
211,BasicRequest,1,22376.0,22376.0,26414;-1;-1,32797;-1;-1,,,,,28.816414686825052,400.26,0:t_wait:109.22192483593972;t_drive:58.81641468682574;fare:0,,,0,13,22585,22659,0,0
210,BasicRequest,1,21773.0,21773.0,23086;-1;-1,36861;-1;-1,,,,,598.3880188324631,9416.48,0:t_wait:67.94792359022904;t_drive:628.388018832462;fare:0,,,0,8,21874,23163,0,0
214,BasicRequest,1,23263.0,23263.0,5670;-1;-1,21175;-1;-1,,,,,123.7641748279093,1280.96,0:t_wait:85.82802905334756;t_drive:153.7641748279093;fare:0,,,0,19,23391,23642,0,0
216,BasicRequest,1,23409.0,23409.0,16364;-1;-1,26597;-1;-1,,,,,243.6814636726857,3268.71,0:t_wait:20.39480035841916;t_drive:273.6814636726849;fare:0,,,0,4,23447,23970,0,0
217,BasicRequest,1,23444.0,23444.0,42050;-1;-1,27773;-1;-1,,,,,62.72282217422607,871.22,0:t_wait:142.2916253282856;t_drive:92.72282217422617;fare:0,,,0,5,23810,24001,0,0
213,BasicRequest,1,23163.0,23163.0,15032;-1;-1,17969;-1;-1,,,,,377.0741494838203,5255.919999999998,0:t_wait:59.97971601120662;t_drive:407.0741494838221;fare:0,,,0,18,23300,24029,0,0
212,BasicRequest,1,23128.0,23128.0,19906;-1;-1,219;-1;-1,,,,,348.0073269249525,8921.509999999998,0:t_wait:129.61217610168023;t_drive:378.0073269249515;fare:0,,,0,17,23346,24108,0,0
219,BasicRequest,1,23848.0,23848.0,5698;-1;-1,4555;-1;-1,,,,,158.8362459656703,1443.9099999999999,0:t_wait:44.334625604053144;t_drive:188.83624596567097;fare:0,,,0,2,23914,24175,0,0
218,BasicRequest,1,23720.0,23720.0,3370;-1;-1,24429;-1;-1,,,,,312.30595641856405,4151.97,0:t_wait:118.64950874766873;t_drive:342.30595641856416;fare:0,,,0,16,23950,24529,0,0
222,BasicRequest,1,24145.0,24145.0,39184;-1;-1,9227;-1;-1,,,,,84.55737629825148,725.29,0:t_wait:94.10901466418;t_drive:114.55737629825308;fare:0,,,0,0,24339,24637,0,0
215,BasicRequest,1,23326.0,23326.0,22546;-1;-1,4089;-1;-1,,,,,578.8745758191898,8889.59,0:t_wait:83.59140861051492;t_drive:608.8745758191908;fare:0,,,0,11,23475,24706,0,0
221,BasicRequest,1,24134.0,24134.0,19906;-1;-1,42033;-1;-1,,,,,249.57310859814652,5699.32,0:t_wait:155.2717676509019;t_drive:279.57310859814606;fare:0,,,0,1,24409,24858,0,0
223,BasicRequest,1,24373.0,24373.0,39270;-1;-1,4285;-1;-1,,,,,74.06944592155904,1094.97,0:t_wait:240.24388088263004;t_drive:104.06944592155924;fare:0,,,0,2,24794,25362,0,0
224,BasicRequest,1,24461.0,24461.0,19906;-1;-1,7653;-1;-1,,,,,401.1133369843872,9030.529999999997,0:t_wait:186.76045833982062;t_drive:431.1133369843883;fare:0,,,0,7,24762,25598,0,0
226,BasicRequest,1,24870.0,24870.0,14062;-1;-1,4195;-1;-1,,,,,65.66363928295809,860.38,0:t_wait:138.46404291940416;t_drive:95.66363928295686;fare:0,,,0,0,25315,25652,0,0
